globalindex,lemma,lemmaindex,lleftcontext,lheadword,lrightcontext,gs_expert
164,kettle,20, And microbial life is extraordinarily robust : microbes can be found living happily in pressurised water hotter than your boiling,kettle,&#44 in concentrated acid&#44and in rock&#44and their spores can survive for years in the rigours of outer space . ,DOT
165,spoon,20, A German doctor named Lorenz Hoffman had a typical Kunst- und Wunderkammer : he owned paintings by Durer and Cranach&#44a skeleton of a newborn&#44two dozen miniature,spoons,hidden within a cherry pit&#44an armband made of elks ' hoofs&#44mummies and various rare musical instruments . ,CONTAINER
166,vial,20, In addition&#4442 subjects dropped out midway through the study&#44and 44 individuals were later excluded because of indications of improper use of their electronic medication monitor such as removal of multiple doses at an opening or incomplete closure of the medication,vial,0,CONTAINER
167,bag,21, An hour later&#44M . says&#44the,bag,showed up&#44&#34 soaked through . ,CONTAINER
168,bottle,21, &#34 I have to say parenthetically that this new stuff in the,bottle,affects the feel of things in a big way . ,CONTAINER
169,bucket,21, Instead&#44you see folks lugging around,buckets,filled with quarters&#44parceling those quarters out one at a time . ,DOT
170,container,21, The experimental design consisted of twenty-four microcosms&#44each of which fell into four different scale types : 1 ) a &#34 base &#34 size ( B )&#44which has been used in microcosm studies of treehole mosquitoes [ 16 ]&#44[ 31 ]&#44[ 33 ]&#442 ) &#34 constant width &#34 ( CW )&#44using the same size,container,and doubling the depth&#443 ) &#34 constant depth &#34 ( CD )&#44using the same depth as the base&#44but doubling the width&#44and 4 ) &#34 constant shape &#34 ( CS )&#44which doubles both the width and depth of the base treatment ( Table 2 ) . ,CONTAINER
171,dish,21, Bombay duck ( which is some sort of fish ) seems to be like a double fault&#44but just think of all those,dishes,on the menus of your favorite restaurants . ,CONTAINER
172,flask,21, Brush the inside of,flasks,with a stiff-bristle brush to loosen any attached material . ,CONTAINER
173,pint,21, Peg- Tankards&#44of which I have seen a few still remaining in Derbyshire&#44have in the inside a row of eight pins one above another&#44from top to bottom ; the tankards hold two quarts&#44so that there is a gill of ale&#44i . e .&#44half a,pint,Winchester measure&#44between each pin . ,CONTENT
174,vial,21, The serum was transferred with solvent-rinsed glass,vials,0,CONTAINER
175,bottle,22, From here&#44the long&#44narrow arcade called Nakamise-dori is lined with shops selling toasted rice crackers&#44spices in gourd-shaped wooden,bottles,&#44 dolls&#44toys&#44fans&#44children s kimono&#44and ornaments and souvenirs of all sorts . ,CONTAINER
176,bucket,22, Mold grows in the,buckets,positioned to catch the water . ,CONTAINER
177,container,22, Fill vials and centrifuge tubes with the 10 % HCl solution and allow to stand a few minutes ; fill all larger,containers,to about one-tenth capacity with HCl solution and swirl so that the entire surface is bathed . ,CONTAINER
178,jar,22, Pooh videos from Disney have sold nearly 20 million copies&#44and Disney Pooh decorates books&#44blankets&#44albums&#44bedding&#44slippers&#44calendars&#44backpacks&#44and cookie,jars,sold to impressionable children everywhere . ,CONTAINER
179,pint,22, There are 4 . 5,pints,per six pack&#44so the high-end price point is around $ 7 per six pack . ) ,CONTENT
180,plate,22, Streptavidin-coated,plates,( Pierce&#44Rockford&#44IL ) were blocked with 1 % BSA / PBS for 30 minutes at room temperature . ,CONTAINER
181,pot,22, The dcor is exotic&#44an eclectic mixture of Persian rugs&#44Chinese porcelain,pots,&#44 and tiger-skins and others furs scattered over the furniture . ,CONTAINER
182,vessel,22, Except for the catalyst&#44most of the material / equipment used to assemble an SCR system is either standard mechanical and electrical components ( pumps&#44blowers&#44valves&#44piping&#44heaters&#44pressure,vessels,&#44 temperature and pressure sensors&#44etc . ) or is largely manufactured for other power plant applications and has been adopted for use in SCR systems ( cleaning devices such as soot blowers or sonic horns&#44gas analyzers&#44etc . ) . ,CONTAINER
183,vial,22, Portions of each tissue were placed individually in a labeled,vial,and flash frozen in liquid nitrogen . ,CONTAINER
184,bag,23, In the overcrowded cities&#44just drop your,bag,off at the hotel&#44and then park your car . ,CONTAINER
185,bottle,23, As I had caught the most fish that day&#44I won a,bottle,of scotch&#44but my friends ' wives viewed with some alarm our return bearing among us about fifty fluke&#44all of which needed cleaning and&#44of course&#44either eating or freezing . ,DOT
186,bucket,23, Rooms brimmed with,buckets,filled with branches so large they scraped the ceiling and the walls as I dragged them to the sink for their changes of water . ,CONTAINER
187,container,23, The,container,should be kept covered and the contents should be protected from light . ,CONTAINER
188,jar,23, Having removed Albert Einstein 's brain&#44pathologist Thomas Harvey chopped it into 240 pieces and stored it in a cookie,jar,in his basement&#44often shipping slabs ( mailed in mayonnaise jars ) to brain researchers eager to count glia and neurons . ,CONTAINER
189,pint,23, And a piece chastises the Red Cross for dumping 3 million,pints,a year of perfectly safe blood donated by people with hemochromatosis . ,CONTENT
190,spoon,23, She dropped her,spoon,into her coffee . &#34 ,CONTENT
191,vial,23, Nuclei were transported to our laboratories in,vials,with gauze moistened with balanced salt solution at room temperature and were placed in primary fixative within 4 hours of extraction . ,CONTAINER
192,bag,24, Their,bag,were either screened for explosives or held off their flight until they were confirmed to be aboard . ,DOT
193,bottle,24, Later&#44we shared a quiet,bottle,of Laphroaig with this well-mannered and impeccably spoken paragon and his beautiful young wife . ,CONTENT
194,container,24, The drying of leaves may mimic natural conditions&#44as water in container habitats is ephemeral&#44with,containers,drying and filling with precipitation inputs [ 10 29 30 ] . ,CONTAINER
195,dish,24, Talavera pottery and,dishes,&#44 as well as blown-glass stemware in a rainbow of colors&#44are readily found throughout the Pacific coastal region . ,CONTAINER
196,glass,24, ? And would a corkscrew and proper,glasses,be pushing it ? ,CONTAINER
197,kettle,24, Selling for more than 20 times the price of an ordinary model&#44the,kettle,quickly became a cult object for design-conscious consumers . ,CONTAINER
198,vessel,24, When the,vessel,was broken&#44sometimes the stones would fall out and become lost . ,CONTAINER
199,vial,24, Scentmarks&#44containing estrus-inducing pheromone&#44were collected by rubbing 4 sides of a 7 - ml glass,vial,on the suprasternal gland of an unrelated male . ,CONTAINER
200,bottle,25, But the freedom to get behind the wheel after half a,bottle,of wine at dinner or an evening downing a six-pack--or whatever it takes to get your blood level to 0 . 08 percent alcohol--has little value . ,CONTENT
201,container,25, All,containers,must be adequately labeled to indicate their contents . ,CONTAINER
202,dish,25, The children grow strong by enduring the pain and suffering of having to eat lutefisk&#44the kind of,dish,that offers a challenge to the character&#44much like haggis for the Scots . ,CONTENT
203,pint,25, They have the air of cheapness but actually cost more than Bud&#44probably because they offer more alcohol per,pint,0,CONTENT
204,bag,26, Come with me now as we revel in the &#34 Garden Patch &#34 : &#34 a deep sage green velvet,bag,with its outer avocado patch pocket&#44&#34 priced at $ 70 and $ 90 . ,CONTAINER
205,bottle,26, Those dueling Greek painters return in a new guise&#44as Mario Merz&#44in the Zeuxis role&#44covers a glass table with an array of fresh vegetables and fruit&#44changed daily by a New York caterer ( Spiral Table&#441982 )&#44while Christo&#44playing Parrhasios&#44conceals the familiar Czannesque shapes--wine,bottle,&#44 vase&#44etc . - - under a drapery of canvas ( Package on a Table&#441961 ) . ,CONTAINER
206,bucket,26, He streaked down the right side of the court&#44took a pass&#44veered toward the,bucket,&#44 and went airborne . ,CONTAINER
207,container,26, The LAT front plus inside stories in the NYT and WP detail how two,containers,filled with 12&#44000 gallons of napalm are still riding the rails--destination still unknown--after the Chicago facility that was to recycle the shipment decided not to accept it&#44on the heels of protests from several midwestern members of Congress . ,CONTAINER
208,pot,26, The Prado owns his strained but fascinating battle picture&#44The Defense of Cdiz against the English&#44and the rarer Still Life of a goblet&#44two vases&#44and a,potl,emerging from a black background . ,CONTAINER
209,vial,26, Fill,vials,and centrifuge tubes with the 10 % HCl solution and allow to stand a few minutes ; fill all larger containers to about one-tenth capacity with HCl solution and swirl so that the entire surface is bathed . ,CONTAINER
210,bag,27, Adequate DO is maintained by replacing the air above the water in the,bag,with oxygen from a compressed gas cylinder&#44and sealing the bag . ,CONTAINER
211,bottle,27, A,bottle,of Viagra prescribed for the dead pilot was found in the wreckage . ,CONTAINER
212,container,27, Insulating material should not be placed between the ice and the sample in the shipping,container,unless required to prevent breakage of glass sample containers . ,CONTAINER
213,vial,27, The,vials,were then labeled ' Monday--lunch&#44' ' Monday--dinner&#44' ' Tuesday--lunch&#44' etc .&#44and loaded onto the Ally McBeal catering cart . &#34 ,CONTAINER
214,bottle,28, One aim of &#34 Objects of Desire &#34 is to show how the same objects in the limited repertory of still life--wine,bottles,and fruits&#44pipes and shaving kits--take on very different meanings&#44public and private&#44over time . ,DOT
215,container,28, Reagent,containers,should be dated when received from the supplier&#44and the shelf life should not be exceeded . ,DOT
216,dish,28, For fatty acid labeling&#44cells in a 6 cm,dish,were incubated with 1 ml of DMEM containing 10 % dialyzed fetal bovine serum&#445 mM sodium pyruvate&#44and [ 9&#4410 - 3 H ] palmitic acid ( 1 mCi / ml ) or [ 9&#4410 - 3 H ] myristate ( 0 . ,CONTAINER
217,flask,28, All experiments were conducted in 50 ml Erlenmeyer,flasks,in a 37 C shaking incubator&#44conditions identical to the long-term evolutionary environment ( see [ 19 ] for specific culture conditions ) . ,CONTAINER
218,jar,28, The main street&#44Queen Street&#44pays tribute to the Anglo- Saxon myth with its clock tower&#44white clapboard and red-brick houses&#44the grand Prince of Wales Hotel&#44tea shops serving buns and buttered scones&#44and the lovingly restored Niagara Apothecary ( 1866 ) displaying old-fashioned medicine,jars,in walnut cabinets under ornamental crystal gaslights . ,CONTAINER
219,kettle,28, There are,kettles,shaped like some of the major Platonic solids--cylinders&#44cones&#44and near-spheres . ,CONTAINER
220,vessel,28, New plasticware used for sample collection or organism exposure,vessels,does not require thorough cleaning before use . ,CONTAINER
221,bottle,29, Rioters threw stones &#44,bottles,&#44 and iron pieces at the police while policemen fired tear gas and used pistols&#44dogs&#44and horses to disperse the mob . ,CONTAINER
222,bucket,29, Let this groove lead to the bean field and guide the water spilled from the,bucket,such that it flows to water the bean field . ,DOT
223,container,29, All non-disposable sample,containers,&#44 test vessels&#44tanks&#44and other equipment that has come in contact with effluent must be washed after use in the manner described below to remove surface contaminants as described below : ,CONTAINER
224,dish,29, [ 15 ] . Static cultures were housed in standard 100 mm style diameter plastic Petri,dishes,( actual diameter of the floor = 85 mm ) . ,CONTAINER
225,flask,29, In any local department store or street market you re likely to come across some very Chinese inspirations : acupuncture charts and dolls&#44those ubiquitous thermos,flasks,&#44 tea mugs with lids&#44padded jackets&#44posters&#44and so on . ,CONTAINER
226,jar,29, You ll see&#44too&#44the massive church&#44the monks pharmacy with its collection of 18 th-century,jars,&#44 their library&#44and the guests dining room . ,CONTAINER
227,kettle,29, You can buy a,kettle,whose whistle is in the shape of a brass-plated nightingale or a steam-spewing dragon . ,CONTAINER
228,pint,29, If farmers in the United States suddenly decided to charge $ 5 for a,pint,of cow 's milk&#44you can bet supermarkets would start selling milk from China if they could get it here at a reasonable cost . ,CONTENT
229,vial,29, The PCR products of each sample ( mock and HpaII ) were diluted 1 : 10 in the same,vial,0,CONTAINER
230,bottle,30, But two of these &#34 drinks &#34 are equal to about half a,bottle,of wine . ,CONTENT
231,bucket,30, Dreams that&#44decades later&#44back at my hotel in Fez&#44A,bucket,of cold water was suddenly poured on . I 'd gone to the hammam&#44stripped&#44and lay on a patternOf sopping tiles that might have spelled God 's will . Steam shrouded the attendant methodically soapingThe knots of disappointment he 'd knuckled in my back . He paused . ,DOT
232,container,30, All sample,containers,should be rinsed with source water before being filled with sample . ,CONTAINER
233,vial,30, All samples were twice mixed by vortexing and centrifuged for 2 min at 16 kG in order to remove reagents from walls of,vials,0,CONTAINER
234,bag,31, Put ya hands up&#44ya lopsided,bag,of hay ! ,CONTENT
235,bottle,31, Shortly before his death in 1973&#44after Darger moved out to a nursing home&#44his landlord opened up his room and discovered&#44amid piles of presumably artistic debris ( hundreds of pairs of smashed eyeglasses&#44balls of string&#44old pairs of shoes&#44scores of empty Pepto- Bismol,bottles,)&#44one 2&#44600 - page autobiography&#44an 11 - year weather log&#4487 watercolors&#4467 pencil drawings&#44and the tale of the Vivian Girls . ,CONTAINER
236,bucket,31, basement&#44alas&#44a mop and,bucket,my squeezingremedy : and Phyllis off at a funeral : ,CONTAINER
237,dish,31, Stable EGFP-cPLA 2 transfectants were grown on 100 mm,dishes,at 5 10 3 cells / cm 2 in growth medium for one day&#44then quiesced in serum-free medium overnight . ,CONTAINER
238,jar,31, The chamber consists of four parts : a drying,jar,&#44 a 165 mm square duct where the aerosol first enters the chamber&#44a UV exposure chamber&#44and sampling ports . ,CONTAINER
239,pint,31, Whether or not they find anything&#44they will eventually get into half-blues civilian jacket over job shirt and trousers and go off to the pub for a well-earned,pint,; and if you eavesdrop on their conversation&#44since policemen always talk shop&#44you will undoubtedly overhear some of the expressions you have been introduced to here . ,CONTENT
240,plate,31, The,plates,were washed thrice with PBS containing 0 . 05 % Tween 20 ( Sigma Co . ,CONTAINER
241,bag,32, Mihdhar and Moqed placed their carry-on,bag,on the belt of the X- ray machine and proceeded through the first metal detector . ,CONTAINER
242,bottle,32, Plants used for snakebites are typically made into tinctures with alcohol or sweet oil ( olive oil ) and kept in 150 ml flasks called ' snake,bottles,' . ,CONTAINER
243,bucket,32, The water-filled,bucket,has now rested&#44silent and waiting&#44until the cannonball strikes the paddle wheel&#44whereupon the wheel spins&#44the red rope winds up&#44pulling the water-filled bucket up the well&#44up against the axle&#44which tilts the bucket over you will have to imagine this part and pours the water into a long funnel that slopes down from the wellhead toward my bean field . ,DOT
244,container,32, In the cleaning operations&#44the largely manual&#44uncontrolled processes&#44including pouring&#44stirring&#44mechanical cleaning&#44and emptying contaminated methylene chloride into either waste,containers,or the recycling distillation unit&#44would have contributed to potential over-exposure . ,CONTAINER
245,flask,32, As Faulkner nips from a,flask,in the drawer&#44Pollock makes a boozy public spectacle of himself . ,DOT
246,jar,32, Thus&#44visitors can find on display a swatch of diseased colon removed from a Union soldier plagued by terminal diarrhea&#44and pieces of John Wilkes Booth 's vertebrae&#44not to mention such miscellany as Siamese twins in a,jar,and a Peruvian mummy . ,CONTAINER
247,pint,32, You start with the &#34 group &#34 ranking--whether the tasters thought the beer belonged in Group 1 ( cheap )&#442&#44or 3 - - and then divide by the price per,pint,0,CONTENT
248,vial,32, Fox TV is planning to fill hundreds of plastic,vials,0,CONTAINER
249,bottle,33, The long line of,bottles,rolls on&#44the equipment right out of Charlie Chaplin 's Modern Times and the name on the labels almost discernible . ,CONTAINER
250,bucket,33, While the operator is pouring the hot urethane from a,bucket,onto a forming belt&#44about 0 . 5 liters ( 16 oz ) of dibasic esters are forced through the system and into a waiting bucket . ,DOT
251,container,33, Microcosms used for CD and CS treatments were 5 . 0 liter polyethylene,containers,&#44 with full width of 17 cm and a total depth of 20 . ,CONTAINER
252,jar,33, It 's never good to get your hand caught in the cookie,jar,0,CONTAINER
253,pint,33, One is given to wonder how manufacturers of other staple consumer products manage to come up with identical packaging ( say&#441,pint,&#44 10 fluidounces or 2 pounds 13 ounces ) and identical pricing on supermarket shelves without being in collusion ; even the most cursory view of college dictionary publishing at once reveals a most extraordinary example of the workings of market forces : no publisher wants to be the first to break the $ 20 barrier ; the Indexed edition of the Random House is the first to touch that mystical figure . ,CONTENT
254,vial,33, The isolates were stored in quintuplicate in small glass,vials,filled with nutrient agar and then sealed with paraffin . ,CONTAINER
255,bottle,34, Organisms are transported from the base or supply laboratory to a remote test site in culture water or standard dilution water in plastic bags or large-mouth screw-cap ( 500 mL ) plastic,bottles,in styrofoam coolers . ,CONTAINER
256,jar,34, Most of the items you ll find in Madeira&#44like pretty hand-painted plates&#44planters&#44jugs&#44and,jars,&#44 come from the mainland - but if you re not traveling to other parts of the country&#44Madeira is still a good place to pick them up at bargain prices . ,CONTAINER
257,vessel,34, The toxicity of receiving water samples from five stations downstream from the discharge point can be evaluated using the same number of test,vessels,and test organisms as used in one effluent toxicity test with five effluent dilutions . ,CONTAINER
258,vial,34, The reconstituted extracts were transferred into autosampler,vials,and 50 l of each sample were injected on to the LC column ( equivalent to 75 l of plasma sample ) . ,CONTAINER
259,bag,35, What about hand-tooled leather,bag,? ,CONTAINER
260,pot,35, Terracotta,pots,have been the basic cooking utensil for generations of Mayan families . ,CONTAINER
261,bottle,36, At any rate&#44Indians somehow won out--inspired&#44supposedly&#44by a rough-and-tumble&#44crowd-pleasing red man whose exciting playing career was unfortunately cut short by a series of scrapes&#44off-field misadventures&#44and episodes with the,bottle,0,DOT
262,bucket,36, The tradition is connected to the baptism of St . John&#44and throughout Mexico&#44it is common to see water fights on this day&#44with,buckets,of water thrown on friends and family . ,CONTENT
263,dish,36, Cells were seeded in 60 mm Falcon Primaria petris ( Fisher Scientific&#44Pittsburgh&#44PA )&#44in the amount of 7 10 6 per,dish,cells in 3 ml DMEM-HG with 5 % FBS + antibiotics as above&#44and cultured in an humidified atmosphere with 5 % CO 2 at 37 C . ,CONTAINER
264,flask,36, New test flasks&#44and all,flasks,which through use may become contaminated with toxic organic substances&#44must be rinsed with pesticide-grade acetone or heat-treated before use . ,CONTAINER
265,plate,36, Aliquots of 20 l of each lysate were transferred to flat-bottomed&#44white microtiter,plates,( Dynex&#44Chantilly&#44VA&#44USA ) and read on a Dynex MLX plate reader in flash mode . ,CONTAINER
266,vial,36, Prepare all graduated cylinders&#44test flasks&#44bottles&#44volumetric flasks&#44centrifuge tubes and,vials,used in algal assays as follows : ,CONTAINER
267,bag,37, The Japanese themselves ( in the big cities at least ) can be seen more often than not with some kind of shopping,bag,- they make very large&#44sturdy ones - just on the off chance that they might want to buy something . ,CONTAINER
268,bottle,37, If you look closely at the ceiling&#44you ll see dolls heads &#44,bottles,&#44 glasses&#44and plates stuck in the mosaics . ,CONTAINER
269,container,37, The most powerful investments may be for improvements in technologies with applications across the transportation modes&#44such as scanning technologies designed to screen,containers,that can be transported by plane&#44ship&#44truck&#44or rail . ,DOT
270,jar,37, Built in 1594&#44the pharmacy s cupboards line two rooms with matching glass and porcelain apothecary,jars,specially ordered by Carlos IV . ,CONTAINER
271,bag,38, Of course&#44George Bush was befuddled by a supermarket scanner&#44which is n't even a real hand tool&#44and besides&#44no one expected him to operate it&#44just carry the,bag,of groceries out to the car . ,DOT
272,bottle,38, &#34 I do n't think you can keep this genie in the,bottle,&#44 &#34 says Robert Novak ( Capital Gang ) . The consensus is that too many nations-- North Korea&#44Pakistan&#44and China&#44among others--have advanced weapons technology for the United States to police the beat effectively . ,CONTAINER
273,bucket,38, Clinton wanted &#34 to pour a,bucket,of freezing cold water &#34 on the hopes of his potential successors&#44Al Gore and George W . Bush&#44who both want him to fail . ,CONTENT
274,dish,38, To the right lie the enormous Palace Kitchens&#44which house a collection of European crystal&#44Chinese porcelain&#44Ottoman serving,dishes,&#44 and cooking implements . ,CONTAINER
275,vial,38, Among other things&#44the archaeologists found grinding wheels and,vials,containing dried pollens . ,CONTAINER
276,bag,39, The only consequence of their selection was that their checked,bag,were held off the plane until it was confirmed that they had boarded the aircraft . ,CONTAINER
277,bottle,39, We have N particles in the,bottle,&#44 so we can represent the current positions and momenta of all N particles at any instant in time by 6 N numbers . ,CONTAINER
278,bucket,39, This is a drop in the,bucket,0,CONTAINER
279,container,39, The,container,should be kept covered and the contents should be protected from light . ,CONTAINER
280,dish,39, Delicious,dish,&#44 but watch out for the aftertaste . ,CONTENT
281,flask,39, Volumetric,flasks,and graduated cylinders - - Class A&#44borosilicate glass or non-toxic plastic labware&#4410 - 1000 mL for making test solutions . ,CONTAINER
282,pot,39, cried the girl&#44fiercely ; but there were pink spots in her cheeks as she retreated into the cabin and began to slam the,pots,and pans on the stone hearth . ,CONTAINER
283,vial,39, Controls were sent a package containing stool collection,vials,and instructions for collection and mailing of samples . ,CONTAINER
284,bottle,40, Before eclosion of the majority of pupae &#44,bottles,were cleared of adults and newly eclosed flies were allowed to emerge over the next 48 h . ,CONTAINER
285,container,40, Plant growth,containers, ,CONTAINER
286,dish,40, Cells were seeded at a density of 10&#44000 cells / cm 2 in polystyrene Falcon six-well plates or 60 mm,dishes,( Becton Dickinson Labware&#44Franklin Lakes&#44NJ ) and maintained at 37 C under an atmosphere of 5 % of CO 2 and 95 % room air . ,CONTAINER
287,flask,40, At these tourist camps&#44guests sleep in wool-felt yurts with quilts&#44hot water,flasks,&#44 and electric lights . ,DOT
288,glass,40, my father says&#44lifting his,glass,to greet a morning in which he 's awake to bewith the birds : or up all night in the sleepof the world&#44alive again&#44singing . ,DOT
289,jar,40, You will find everything from Chinese apothecaries who display their herbs and medicines in porcelain,jars,to Nepalese traders offering exotic jewelry&#44from fortune-tellers to pet shops . ,CONTAINER
290,vial,40, Plates were then centrifuged &amp; 150 l supernatant was carefully removed and transferred to a plastic,vial,0,CONTAINER
291,bucket,41, Eight years later&#44the young man writes flamboyantly to his fiancee&#44&#34 I believe that with a,bucket,of sand and a wishing lamp I could create a world in half a second that would make this one look like a hunk of mud . &#34 ,CONTENT
292,container,41, Slogans&#44too&#44are sometimes in English&#44like this one on a deodorant,container,: Sweet Medica-it frees you completely from the smell of your underarm sweat . ,CONTAINER
293,dish,41, Neurons and neurite growth were labelled by incubating each,dish,with 2 . 5 ng / ml of 5 - carboxyfluorescein diacetate&#44acetoxymethyl ester ( vital dye ; Molecular Probes&#44Eugene&#44OR ) for 45 to 90 minutes at 37 C . ,DOT
294,jar,41, The effect is that of a hushed chapel&#44and on the altar is this gorgeous riddle of a painting&#44with its tilted plate of ripe pears&#44its pendulous eggplants&#44its great blue-black bedspread draped across the lower half of the painting&#44and its round&#44wicker-wound ginger,jar,&#44 carefully placed in the middle . ,DOT
295,plate,41, Or the mealtimes that have the entire family trying to find a place to sit and balance their,plates,while eating wherever they can find a place ? ,DOT
296,pot,41, Thimi s streets often become open-air kilns&#44when,pots,are fired beneath smoldering rice straw . ,DOT
297,vial,41, Using sterilized scissors&#44we collected one cm 2 of leaf material from each of seven haphazardly chosen plants ( from three to five species ) and combined all seven in a single sterile,vial,0,CONTAINER
298,bag,42, Can that be right--canvas tool,bag,in outer space ? ,CONTAINER
299,bucket,42, Walkers Cay s shark-feeding program allows divers to watch large groups of sharks fight over a frozen fish chumsickle (,buckets,of fish parts frozen into a block that thaws in the warm water&#44releasing the fish slowly to prolong the feeding ) . ,CONTENT
300,container,42, CS comparisons were only different for female biomass&#44where mosquitoes from CS&#44the largest and deepest,containers,&#44 were significantly larger . ,CONTAINER
301,pint,42, b ) Middle at around 80 cents per,pint,&#44 or under $ 4 per six pack . ,CONTENT
302,vial,42, Those flies being fed DOX were kept on food,vials,supplemented with 250 g / ml DOX . ,DOT
303,vial,43, Yeah&#44I know Randy never takes his ideas from TV Guide . Nor does he often stoop to the crassness inherent in the combination of &#34 Fox TV &#34 and &#34 plastic,vials,. &#34 ,CONTAINER
304,bag,44, What I find interesting is this : Those who think that cell phones are more than two cans with an invisible string are those who want others to see them with a Vuitton,bag,on their arms as they slide into the buttery leather of their Range Rover on the way to that Vail getaway . ,CONTAINER
305,bottle,44, He drank from a,bottle,and waded in the river . ,DOT
306,jar,44, That 's one lesson of Hope in a,Jar,&#44 a history of American beauty culture from the late- 19 th to the mid- 20 th century&#44a period when the pursuit of improved looks was transformed from a matter of folk recipes whispered from woman to woman to a multibillion dollar industry . ,CONTAINER
307,pint,44, If you re looking for a,pint,of bitters and an English football game&#44you ll have no trouble finding it . ,CONTENT
308,vial,44, Retinal and retinoic acid were dissolved in either DMSO or ethanol and stored as 100 mM stock solutions in foil-wrapped,vials,at - 20 C . ,CONTAINER
309,bag,45, But then she told Rabbi S . 's wife : &#34 If you want&#44you can pay an extra $ 100 for the extra,bag,&#34 - - i . e . ,CONTAINER
310,bottle,45, And&#44as the N particles in the,bottle,collide and exchange momenta&#44bouncing oV in new combinations of directions with new combinations of velocities according to Newton s three laws of motion&#44the 6 N numbers representing the system at each moment change in time through some succession of 6 N numbers . ,CONTAINER
311,container,45, It works this way : You are given a piece of paper listing the candidates and propositions ( a &#34 ballot &#34 )&#44you indicate your choices using a device called ( we believe ) a &#34 felt-tipped pen&#44&#34 then you deposit the piece of paper through a slot in a large,container,called a &#34 ballot box . &#34 ,CONTAINER
312,dish,45, Subconfluent cultures of NIH 3 T 3 cells on 3 . 5 cm plastic culture,dishes,&#44 were rinsed with PBS ( + )&#44fixed with 4 % paraformaldehyde in PBS ( + ) at room temperature or 37 C&#44or fixed and / or extracted by one of the procedures listed in Table 1 . For some experiments&#44cells after fixation were treated twice with 0 . 5 mg / ml NaBH 4 in PBS for 10 min at room temperature . ,CONTAINER
313,flask,45, All,flasks,and tubes were Kimax glass&#44washed with 0 . 1 N HCl and rinsed 4 X with water and then dried before use . ,CONTAINER
314,glass,45, Virus Coaster Set ( includes Influenza A&#44Hepatitis B&#44Adenovirus&#44T 4 Bacteriophage )&#44$ 12 - - How many times must I tell you : Do n't put your,glass,on the table&#44put it on something that will give you searing abdominal cramps . ,DOT
315,pint,45, ( If the camera had worked properly&#44you would be able to recognise VERBATIM on the table beside my,pint,. ) ,DOT
316,pot,45, That is why&#44just as an archaeologist can reconstruct a,potl,from a few shards&#44or a paleontologist can surmise the form of a prehistoric animal from bone fragments&#44it is possible to divine the architect s idea of a building by examining its details . ,CONTAINER
317,vial,45, etc . ) Two hundred years after the events of Alien 3&#44they obtain a,vial,of Ripley 's alien-infected blood and grow her--and the creature that she was carrying to term--in a laboratory . ,DOT
318,bag,46, Bestsellers are hats&#44dolls &#44,bag,&#44 and baskets . ,CONTAINER
319,bottle,46, And still they hold on to their,bottle,0,CONTAINER
320,container,46, The temperature of the water in the shipping,containers,should be measured on arrival&#44to determine if the organisms were subjected to obvious undue thermal stress . ,CONTAINER
321,vial,46, With these weapons in hand&#44a terrorist can use low-tech means of conquering distance--say&#44crossing a border with an atom bomb in a trunk or a,vial,of anthrax in a vest pocket . ,DOT
322,bag,47, Plastic chair&#44my eyes closed&#44my father walked in&#44he had his,bag,of laundry . ,DOT
323,bottle,47, A plate of grilled sardines&#44prawns&#44or squid and a,bottle,of house wine make a fantastic meal&#44and the prices are about as low as anywhere along the coast . ,DOT
324,pint,47, If you do n't&#44march down to the Red Cross&#44donate a,pint,&#44 and they 'll tell you . ,CONTENT
325,bag,48, From Pointe-- Pitre&#44thick groves of banana trees ( with the fruit protected from insects by transparent,bag,) and fields of sugarcane stretch away from the southbound coastal highway through Petit- Bourg and Goyave . ,DOT
326,bottle,48,&#44in the eye&#44urethra&#44etc . ) &#34 [ Pressing down the self-adhesive flaps&#44she sits up &#44,bottle,still in her mouth&#44and muses . ,CONTAINER
327,vial,48, &#34 The,vials,are part of a promotional campaign for the May sweeps special When Soda Goes Flat IV . &#34 - - Doug Strauss ,CONTAINER
328,bottle,49, Players are bombarded with,bottles,0,CONTAINER
329,container,49, ( 2 ) is made of a noncorrosive material&#44and ( 3 ) is easily cleaned ( fiberglass,containers,are ideal ) . ,CONTAINER
330,jar,49, After incubation&#44Coplin,jars,were removed from the water bath and slides immersed in sodium citrate or Tris- HCl and were allowed to sit in solution for a further 20 minutes before being rinsed with water and air-dried . ,CONTAINER
331,vessel,49, Shaping a,vessel,in which to boil water should n't be that difficult--more a matter of &#34 duh &#34 than design . ,CONTAINER
332,vial,49, The top ( hexane ) layers of each sample were transferred to,vials,and stored at - 20 C prior to being analyzed by gas chromatography . ,CONTAINER
333,bottle,50, But if someone swings a,bottle,at your head&#44what 's wrong with ducking ? ,CONTAINER
334,container,50, She looked into the back of the bakery and could see a long&#44heavy&#44wooden table with aluminum pie pans stacked at one end ; and beside the table a metal,container,filled with empty racks . ,CONTAINER
335,dish,50, Cells remaining on the,dish,were dissolved in medium ( Ham 's F 12 or DMEM ) containing 0 . 1 % Triton X- 100 . ,CONTAINER
336,flask,50, After a 24 hour period of induction 20 M BrdU was added to both,flasks,0,CONTAINER
