globalindex,lemma,lemmaindex,lleftcontext,lheadword,lrightcontext,gs_expert
169,England,23, Countless Renaissance and Baroque sculptors have drawn inspiration from the friezes on the triple Arch of Septimius Severus ( honoring a third-century emperor who died in York &#44,England,&#44 the northernmost boundary of the empire ) . ,LOC
170,Germany,23, Alas&#44all that the scientists at Los Alamos and in,Germany,seem to have come up with is a series of new metaphors to describe traffic jams . ,LOC
171,London,23, During the 18 th century Holyrood was neglected by succeeding British monarchs&#44who preferred to stay in their,London,residence&#44though Scottish noble families lived within the compound . ,LOC
172,America,23, In an hour-long speech to GOPAC Monday night&#44he boasted about the Contract With,America,'s influence in Mongolia . ,ORG
173,America,24, Lately&#44however&#44her readers seem to have decided to become,America,'s Nannies&#44mailing in all sorts of precatory silliness-- &#34 Eppie&#44tell your readers never to leave a dead fish alone in a car on a hot day with the windows rolled up ! &#34 ,DOT
174,California,24, Hazmi and Mihdhar used their true names to obtain,California,driver 's licenses and open New Jersey bank accounts . ,DOT
175,Germany,24, Refusing to get trapped in sterile quarrels over issues like borders and the treatment of minorities in such countries as Russia&#44Ukraine&#44Poland&#44and,Germany,53 . ,DOT
176,Afghanistan,24, According to Binalshibh&#44shortly after the date was chosen&#44he advised Essabar and another Hamburg associate&#44Said Bahaji&#44that if they wanted to go to,Afghanistan,&#44 now was the time because it would soon become more difficult . ,LOC
177,Africa,24, Despite this disparity in case notifications&#44mortality from tuberculosis is similar among young males and females in,Africa,[ 10 ] . ,LOC
178,England,24, The giant publishing houses in,England,and America turning out hundreds of dictionaries of various sizes and kinds always regard objectivity and fidelity to actual usage as ideals and marketability as the end . ,LOC
179,London,24, Tufte 's inclusion of John Snow 's famous map of the 1854 cholera epidemic in,London,is a case in point : Snow 's street-by-street tracking of cholera deaths pointed unmistakably to the culprit--the water coming out of the Broad Street pump . ,LOC
180,Canada,24, ,Canada,welcomed a new territory April 1 as Nunavut was carved from the eastern part of the Northwest Territories . ,ORG
181,Europe,24, The &#34 banana war &#34 between the United States and,Europe,was cited in the Pan- Arab al- Quds al- Arabi as a reason for Arabs not to trust the United States . ,ORG
182,Afghanistan,25, Military planners did not include contingency planning for an invasion of,Afghanistan,0,DOT
183,America,25, Two decades after Congress first deregulated the airline industry &#44,America,'s major airlines are starting to sound more than a bit like St . Augustine : &#34 Give us competition&#44Lord ! ,DOT
184,Germany,25, Herr Schroeder may have won over,Germany,'s inherently conservative voters with his talk of a ' new centre&#44' but his election swings Europe firmly leftward . &#34 ,DOT
185,Africa,25, Birdwatching : Eilat enjoys a prime location on the migration path for birds flying from Europe and Asia to,Africa,0,LOC
186,Boston,25, Recently I sent a team of crack investigators &#34 to and fro in the earth&#44and walking up and down in it &#34 ( Job 1 : 7 ) - - that is&#44I sent my associates Lessie Arnold&#44Alexandra Custis&#44Julia Livshin&#44Ashley Malcolm&#44and Katherine Romano out into the highways and byways of the,Boston,metropolitan area . ,LOC
187,Canada,25, Leo Nkounga was the document broker and an illegal alien in,Canada,from Cameroon who failed to surrender himself for deportation in 1993 . ,LOC
188,China,25, Pat Buchanan appeared on both CNN 's Late Edition and Fox News Sunday to advocate punishing,China,for its human-rights violations&#44high trade barriers&#44and arms sales to rogue nations such as Iran . ,ORG
189,England,25, On 1 May 1707,England,and Scotland were formally joined together by the Act of Union - establishing the Union of Parliaments - and the United Kingdom was born . ,ORG
190,Europe,25, A strong trend in the early phases of,Europe,'s burgeoning Single Market . ,ORG
191,Afghanistan,26, Proposals to help the Northern Alliance had been debated in the U . S . government since 1999 and&#44as we mentioned in chapter 4&#44the U . S . government as a whole had been wary of endorsing them&#44largely because of the Northern Alliance 's checkered history&#44its limited base of popular support in,Afghanistan,&#44 and Pakistan 's objections . ,DOT
192,Canada,26, The most unpopular PM in,Canada,'s modem history&#44he introduced the Goods and Services Tax&#44a VAT-like national sales tax . ,DOT
193,Africa,26, The model was also tailored to take into account epidemiologic&#44demographic&#44and sociologic patterns in the eastern&#44central / western and southern regions of,Africa,0,LOC
194,Boston,26, The cells were used between passages 2 and 9 . The cells were positively stained for smooth muscle -actin ( Oncogene Research Products &#44,Boston,&#44 MA ; Fluorescein labeled goat anti-mouse secondary antibody&#44Molecular Probes&#44Eugene&#44OR ) with each new isolation . ,LOC
195,Europe,26, - - &#34 The Sudetenland is the last territorial claim I have to make in,Europe,. &#34 ,LOC
196,London,26, Which is why it 's surprising that the LAT commits the unclarity of saying that the earlier cease-fire &#34 ended without warning in February&#441996 with a,London,truck bomb that killed two people&#44&#34 without mentioning that the explosion was attributed to the IRA . ,LOC
197,China,26, The NYT and WP run inside stories reporting that according to a human rights group&#44a recent crackdown by,China,against Protestant congregations that do not formally accept the leadership of the government has resulted in the arrest of seventy church members . ,ORG
198,Germany,26, France seemed less aware of the threat from Nazi,Germany,&#44 allowing Hitler to remilitarize the Rhineland in 1936 in breach of the Versailles Treaty&#44a step Hitler later said he had never dreamt of getting away with . ,ORG
199,Europe,27, Under the Emperor Qianlong ( Ch ien Lung )&#44Kangxi s grandson&#44conflict arose between,Europe,s empires and the Middle Kingdom . ,DOT
200,California,27, The LAT 's &#34 Column One &#34 tells of what it calls the abortion debate 's cause celebre&#44the first murder prosecution of an abortion doctor in,California,in nearly twenty years . ,LOC
201,China,27, Although a royal spokesman said later that Charles intended no snub to,China,but was bound by an earlier engagement&#44the paper said the prince was &#34 motivated by his admiration for the Dalai Lama&#44whom he has met at least twice in defiance of Government policy . &#34 ,LOC
202,Germany,27, And it is no accident that the idea of revolution arose at a moment when the terrible fires of religious conflict had burnt out in Europe&#44and European thinkers had largely concluded that forcibly imposing possible Christian salvation on doctrinal enemies was not worth the enormous cost in blood and toil that two centuries of religious warfare had taken ( the Thirty Years ' War alone reduced the population of,Germany,by as much as 25 percent ) . ,LOC
203,London,27, Since the early 18 th century&#44when George Friedrich Handel struggled to keep a company going in,London,&#44 opera has been sustainable only with the help of subsidies--whether from aristocrats&#44governments&#44or corporate benefactors . ,LOC
204,Afghanistan,27, Meanwhile&#44the administration would &#34 initiate a comprehensive review of U . S . policy on Pakistan &#34 and explore policy options on,Afghanistan,&#44 &#34 including the option of supporting regime change . &#34 ,ORG
205,America,27, ,America,seems to be mistaking the opportunity of peace talks for the reality of a peace treaty . ,ORG
206,Canada,27, At the outbreak of war &#44,Canada,s reputation for welcoming immigrants and refugees from all over the world was tarnished by the blocking of Communists and Jews from Hitler s Germany . ,ORG
207,England,27, The cover story proclaims the end of,England,'s decline and fall . ,ORG
208,America,28, &#34 It does not tell us what we need to know about,America,&#44 what a novel can tell us about the complex attitudes and allegiances of a time and a place . &#34 ,DOT
209,California,28, The population of,California,did not grow much during the eighteenth century&#44and after the independence of Mexico from Spain in 1821&#44Spanish culture quickly declined in the region . ,DOT
210,Canada,28, Reimbursement for health care in,Canada,is largely provincial rather than federal ; therefore in order to derive &#34 national &#34 costs&#44it was necessary to adjust provincial data . ,DOT
211,Afghanistan,28, At the meeting&#44Bin Ladin listened to KSM 's ideas without much comment&#44but did ask KSM formally to join al Qaeda and move his family to,Afghanistan,0,LOC
212,Boston,28, ,Boston,&#44 MA : Kluwer Academic Publishers . ,LOC
213,China,28, Visitors need a visa to enter,China,&#44 and must disembark at the border ( now called boundary ) checkpoint&#44Lo Wai . ,LOC
214,Europe,28, In,Europe,&#44 Le Monde of Paris agreed with the Sydney Morning Herald that the disaster in East Timor should have been foreseen&#44and it also strongly criticized the United Nations . ,LOC
215,Germany,28, Ramzi Binalshibh wired some funds withdrawn from Shehhi 's bank account in,Germany,&#44 a total of more than $ 10&#44000 in four transfers between June 13 and September 27&#442000 . ,LOC
216,London,28, Half the pleasure of this lovely town dramatically perched on a rocky precipice is a first glimpse of it from afar ( not so very different today from Turner s 1828 painting in,London,s Tate Gallery ) . ,LOC
217,Afghanistan,29, The Taliban is both a product of and a reaction to the civil war that has gripped,Afghanistan,since the demise of the Soviet-backed regime in 1992 . ,DOT
218,Boston,29, Specific binding of cDNA probes with the membranes was scanned into a computer and the radioactive signal intensities of specific binding were quantitated with the OptiQant software ( version 3 . 0&#44DeltaPackard &#44,Boston,&#44 MA ) and presented in digitalized light unit ( DLU ) . ,LOC
219,London,29, First&#44the word is not vagzal but vokzal . Second&#44it was not adopted from the name of Vauxhall railway station &#44,London,0,LOC
220,America,29, ,America,is pragmatic and dedicated exclusively to the promotion of its own interests&#44the paper said&#44and it is time that Moscow realized this . ,ORG
221,China,29, Hardly had the groundwork been laid when,China,entered the Korean War&#44sending volunteers to fight against American-led United Nations forces . ,ORG
222,Europe,29, King Mtys Royal Palace was the talk of,Europe,0,ORG
223,Germany,29, This is less than the direct subsidy of 99 billion lire ( $ 60 million ) the Italian government gives La Scala in Milan or the 87 million deutsche mark ( $ 52 million ) that,Germany,gives the Berlin Staatsoper&#44but is slightly more than the Royal Opera in London gets . ,ORG
224,Europe,30, The program teaches the value of &#34 secular&#44democratic government &#34 ; Iran wants to nullify these teachings&#44and gain a foothold in,Europe,through the Muslims . ,DOT
225,Afghanistan,30, Atta was to provide Binalshibh with advance notice of at least a week or two so that Binalshibh could travel to,Afghanistan,and report the date personally to Bin Ladin . ,LOC
226,Boston,30, Leaving the British official who twice searched his luggage none the wiser&#44he managed by meticulous observation to memorize the principal features of the power loom well enough to produce his own version of it on his return to,Boston,0,LOC
227,China,30, It is thought piatas originated in,China,and were brought to Sicily and Spain by the Arabs and to New Spain by the Spaniards . ,LOC
228,England,30, Also&#44the preferred pronunciation of Shoreham&#44the English port&#44is shown as \ ? \&#44which is unlikely to be heard anywhere in,England,0,LOC
229,Germany,30, The 40 profiles include the obvious choices-- Frank Sinatra&#44Dr . Spock&#44Roy Rogers--but there are also stories about Otto Bettmann&#44who began his photo archive with two suitcases of photographs carted out of Nazi,Germany,; Martha Gellhorn&#44who covered wars from Spain in the 1930 s to Patagonia in the 1980 s ; and the inventors of the Cuisinart&#44the La- Z-B oy&#44and bubble gum . ,LOC
230,London,30, You give the brief lead ; I give the headline from,London,'s Independent : &#34 Letter Reveals Nutkin Was a Savage Squirrel &#34 ,LOC
231,America,30, Mintz seems puzzled&#44musing that it was n't as though he 'd said,America,had no literature . ,ORG
232,Afghanistan,31, The deputy chief for operations of CTC&#44&#34 Henry&#44&#34 told us that going into the,Afghanistan,sanctuary was essential . ,LOC
233,Boston,31, The title of the,Boston,show has a double meaning : the work Monet created during the 20 th century&#44and his work in relation to the various Modernist movements of the 20 th century . ,LOC
234,Canada,31, This takes some of the wind out of the sails of John Cabot&#44the Venetian navigator who claimed,Canada,s eastern seaboard for England s Henry VII in 1497 . ,LOC
235,America,31, China Daily said Friday in an editorial that behind,America,'s &#34 barbaric air strikes against Yugoslavia &#34 lies a plan to divide Europe and dominate the world . ,ORG
236,China,31, So long as,China,continues to develop&#44Hong Kong will get a substantial chunk of that growth . ,ORG
237,Europe,31, The U . S . economy has grown faster than it did in 1998 &#44,Europe,is now humming along nicely&#44Japan has crawled out of recession ( at least for the moment )&#44and much of Asia is now moving again . ,ORG
238,Germany,31, The paper notes this brings Britain into line with the policy of almost all other NATO nations&#44including France&#44Canada&#44and,Germany,0,ORG
239,London,31, A few brilliant victories gained control of Orissa and other territories for Britain&#44but,London,decided all that energy would be best directed at Napoleon&#44and called Wellesley home . ,ORG
240,China,32, He declares on both PBS 's NewsHour With Jim Lehrer and Capital Gang that the Clinton administration got away with berating India because the nation--unlike,China,&#44 Greece&#44and Israel--has no lobby in Washington . ,DOT
241,Afghanistan,32, Before it was canceled&#44Schroen described it as the &#34 best plan we are going to come up with to capture [ Bin Ladin ] while he is in,Afghanistan,and bring him to justice . &#34 ,LOC
242,Boston,32, In the middle of the 19 th-century &#44,Boston,ended at Boston Common and Back Bay was just a polluted tidal flat . ,LOC
243,California,32, [ Quote from Bob Porter&#44director of Maintenance and Engineering Services in Fontana &#44,California,&#44 in the San Bernardino Sun&#44. ,LOC
244,Europe,32, The westernmost territory of,Europe,was highly prized by North African Moors&#44who occupied it from the eighth to the 13 th centuries . ,LOC
245,London,32, It would have been useful had the entry FOLK ETYMOLOGY included a reference to Folk Etymology&#44A Dictionary of Verbal Corruption or Words Perverted in Form and Meaning by False Derivations or Mistaken Analogy&#44Rev . A . Palmer Smyth&#44George Bell &amp; Sons [,London,]&#441882 . ,LOC
246,America,32, Where King invoked,America,'s promise&#44Malcolm underscored its betrayal . ,ORG
247,Germany,32, Showing off his homework&#44Krauthammer alleged that,Germany,supports the treaty because the closure of East Germany 's dirtiest factories has already brought the Germans into compliance with the coming emission standards&#44which are set at 1990 levels . ,ORG
248,China,33, Boxwood&#44mahogany&#44or bamboo screens&#44chairs&#44and chests with elaborately carved designs re-create the atmosphere of old,China,0,DOT
249,England,33, Once it was known that the attack had been repelled&#44a gift of wine was sent out to Nelson (,England,was&#44after all&#44an important wine market ) and a street was named Calle de Horacio Nelson in his honor ! ,DOT
250,America,33, I have no idea about what he plans&#44but I have the awful feeling that he may have used me for a green card and for a way to keep his children in,America,0,LOC
251,Europe,33, ( Bear in mind&#44of course&#44that equally cruel religious persecution of Catholics&#44Protestants&#44and Jews was quite common in,Europe,at that time . ) ,LOC
252,London,33, One tops a 40 - m- ( 120 - ft- ) high clock tower that suggests inspiration from Big Ben in,London,0,LOC
253,California,33, Vexed items Washington wants in and,California,wants out include mandated ride-share programs&#44pollution controls on restaurant char-broilers&#44and tougher regs on aerospace plants . ,ORG
254,Canada,33, On the downside &#44,Canada,'s economy is weaker than the United States '&#44and Canadians have an inferiority complex about their southern neighbor . ,ORG
255,Boston,34, This is,Boston,s commercial and financial heart&#44but it s far from being an homogeneous district : It incorporates the austere Government Center and the lively Faneuil Hall Marketplace . ,DOT
256,England,34, Upon receiving the proposal&#44he asks,England,'s bishops several times to give him a clear justification for the invasion&#44which will necessarily entail the deaths of thousands of men . ,DOT
257,London,34, As he departed for Washington on an official visit&#44British Prime Minister Tony Blair published an op-ed article in the conservative Daily Telegraph of,London,reaffirming Britain 's readiness to take part in military action against Iraq . ,DOT
258,Afghanistan,34, Looking to,Afghanistan,&#44 where the hostages are being held on an airstrip&#44an editorial in the Hindu concluded&#44&#34 If the Taliban wants to end its international isolation and move towards a partial lifting of sanctions&#44it must be seen playing a positive role in bringing this negotiation on its home turf to a successful conclusion . &#34 ,LOC
259,Africa,34, Dead earnest even as a child&#44Farrow planned to escape the narrow&#44competitive world of acting&#44to become a Carmelite nun or a pediatrician in,Africa,&#44 until her father 's death forced her to start earning money . ,LOC
260,Canada,34, If patriots make a reverent pilgrimage to,Canada,s Sports Hall of Fame ( just off Lakeshore Boulevard West at Exhibition Place ) to salute heroic athletes of the past&#44the separate Hockey Hall of Fame provides a tonic lesson for American visitors to recall&#44among the trophies&#44masks&#44skates&#44and hockey sticks&#44the fact that nearly all their ice hockey heroes are Canadian-born . ,LOC
261,China,34, ,China,will prosecute the leaders of Falun Gong . A government order excused most followers saying they had been brainwashed into joining a subversive political organization . ,ORG
262,Europe,34, In Germany&#44Die Welt said in a front-page commentary on Kosovo that,Europe,will overcome its history only when it is able to preserve peace across the whole continent without the help of Richard Holbrooke . ,ORG
263,Europe,35, As for identities&#44I suppose I could continue on the subject with a lengthy disquisition on the construction of national identities in early modern,Europe,&#44 drawn from my new book . ,DOT
264,Afghanistan,35, Looking back in 2004&#44he equated the presidential directive with a readiness to invade,Afghanistan,0,LOC
265,California,35, Annual&#44age-adjusted breast cancer incidence rates for Marin County averaged over the five most recent years for which we have data ( 1995 - 1999 ) exceeded&#44by at least 20 %&#44those from any single other urban county in,California,&#44 and they were 28 % higher than rates for other SFBA counties and were 38 % higher than rates for other urban counties combined ( Table 2 ) . ,LOC
266,Canada,35, Britain won,Canada,and everything east of the Mississippi&#44including Spanish Florida . ,LOC
267,China,35, In,China,&#44 for example&#44the big story had been the Chinese government 's self-proclaimed diplomatic triumphs&#44such as President Clinton 's visit to Beijing and Chinese President Jiang Zemin 's visits to Moscow and Tokyo ; in Russia it had been the collapse of the post- Soviet financial system and the humiliation of market reformers ; in Israel the disintegration of Benjamin Netanyahu 's government amid bitter divisions over the Middle East peace process ; in South Africa the report of the Truth and Reconciliation Commission on apartheid-era crimes ; in Germany the September election that ousted Chancellor Helmut Kohl and brought the Social Democrat Gerhard Schrder to power ; in Italy the country 's success in qualifying to join the new euro currency ; and in France its soccer team 's 3 - 0 victory over Brazil in the final of the World Cup . ,LOC
268,England,35, Embraced by green wooded escarpments and backed by snow-capped Alps&#44the lake favored by some of,England,s most romantic 19 th-century poets - Wordsworth&#44Shelley&#44and Byron - retains a certain wistful atmosphere for the leisure hours of the Milanese ( it s less than an hour from Milan by train or car ) . ,LOC
269,Germany,35, He learned that Herr Siegfried was still missing&#44presumably in,Germany,somewhere&#44and as for Joseph&#44well&#44Joseph had been unmasked as an impostor just after leaving Dubai . ,LOC
270,London,35, In,London,&#44 the Financial Times called Monday in its main editorial for &#34 radical reform &#34 of the whole Olympic system&#44because &#34 if the public ever came to doubt how the medals were awarded&#44the Games would be deservedly finished . &#34 ,LOC
271,America,35, supporting,America,'s publishing economy ,ORG
272,America,36, In Nashville&#44he shows how country and western has become the predominant music of white,America,&#44 with Garth Brooks having outsold every recording artist in the United States except the Beatles . ,DOT
273,California,36, ,California,officials have been especially aggressive&#44muscling reluctant FEMA officials to expend billions on &#34 code upgrades &#34 requiring massive or even total reconstruction of buildings suffering relatively minor damage . ,DOT
274,Germany,36, There is one other recurring difference in the papers ',Germany,coverage : all but the NYT render the winner 's name &#34 Schroeder&#44&#34 while the Ochs Sulzberger bund foregoes that &#34 oe &#34 for an &#34 o &#34 under an umlaut . ,DOT
275,London,36, The Independent of,London,said the Cox report exposed &#34 an almost inconceivably sloppy attitude &#34 to security by the United States and showed &#34 how difficult the West now finds it to deal with an economically and politically resurgent China . &#34 ,DOT
276,Afghanistan,36, When he arrived in,Afghanistan,&#44 they controlled much of the country&#44but key centers&#44including Kabul&#44were still held by rival warlords . ,LOC
277,Boston,36, Gloucester ( 38 miles / 61 km from,Boston,) is a gritty salty town&#44the country s oldest fishing port and also the busiest on the Massachusetts coast . ,LOC
278,Canada,36, Interestingly&#44the proportion of publications from Latin America&#44the United States&#44and,Canada,across all subject areas in Science and Nature were nearly identical to those of the top 20 ecological journals . ,LOC
279,China,36, The story of the Western discovery of Macau begins in 1513 when Portuguese explorer&#44Jorge Alvares&#44reached the south coast of,China,0,LOC
280,England,36, As far as I know&#44the problem has been solved in,England,by a creating another offence&#44less serious&#44with lower penalties&#44driving and taking away . ,LOC
281,Europe,36, I have traveled throughout,Europe,&#44 the Far East&#44and North America&#44but nowhere have I found more abbreviations and acronyms in use than in the U . S .&#44particularly in the medical field . ,LOC
282,California,37, ,California,&#44 where jobs have zoomed but affordable housing has not&#44will receive $ 84 billion of the subsidy . ,DOT
283,Germany,37, But Moltke was firmly opposed to the use of force ; when he was put on trial with the other conspirators after the 1944 plot&#44he was impressed--almost heartened--that the judge gave him a death sentence simply for thinking about,Germany,without Hitler . ,DOT
284,Afghanistan,37, to cut off all shipments of fuel to the Taliban and stop recruits from going to,Afghanistan,; and&#44,LOC
285,Europe,37, oh there 's a whole lot of countries in,Europe,that do that Sweden Denmark Norway ,LOC
286,London,37, Writing in the paper 's &#34 Review &#34 section&#44Oxford historian Niall Ferguson said that the slaughters in Kosovo and at Columbine High School and the nail bomb attack last week in,London,'s black neighborhood of Brixton are all linked to one person-- Adolf Hitler . ,LOC
287,America,37, An editorial darkly warns that China is modernizing and expanding its military in order to displace,America,as Asia 's dominant power . ,ORG
288,China,37, And they do n't need to--the 13 missiles they supposedly have aimed at the United States have always been judged capable of hitting U . S . cities by the Pentagon ( though,China,'s difficulty in commercial launches casts doubt on the Pentagon 's assessment ) . ,ORG
289,America,38, But when you start counting by race&#44you divide,America,&#44 you do n't bring it together . &#34 ,DOT
290,Germany,38, The specimens were examined using a light microscope ( Leica &#44,Germany,) equipped with a digital camera ( Model C 5810&#44Hamamatsu Photonics K . K . ) ,DOT
291,Afghanistan,38, A photo essay&#44&#34 In Praise of Women&#44&#34 features shots of impoverished or oppressed women in,Afghanistan,&#44 Africa&#44and Haiti&#44with lushly worded captions . ,LOC
292,Boston,38, This consortium&#44adds Howard Hughes Medical Institute Investigator Leonard Zon ( Harvard Medical School &#44,Boston,&#44 Massachusetts&#44United States )&#44will not only have an effect on European zebrafish science but also on how it is done in the United States . ,LOC
293,California,38, Terrorism had a face-that of Ahmed Ressam-and Americans from Vermont to southern,California,went on the watch for his like . ,LOC
294,Europe,38, This could not safely be done in England-- nor&#44in the end&#44even in,Europe,&#44 in spite of its more advanced reform&#44mainly under the influence of Luther . ,LOC
295,London,38, The similarity to,London,s own Parliament ( Big Ben aside ) is quite striking&#44with the Danube simply substituted for the Thames . ,LOC
296,California,39, [ Reference throughout this essay is to The Diary of Samuel Pepys&#44edited by Robert Latham and William Matthews&#44University of,California,Press&#44Berkeley and Los Angeles&#441970 . ,DOT
297,Canada,39, ,Canada,'s secret ? ,DOT
298,England,39, In,England,&#44 left-wing British playwright Harold Pinter has pronounced the bombing &#34 misjudged&#44miscalculated&#44disastrous&#44&#34 and conservative historian Niall Ferguson scoffs at the campaign 's inadequacy in a Financial Times op-ed ( &#34 Bleeding Hearts and Bloody Messes &#34 ) . ,LOC
299,Europe,39, In the center&#44Bernini s Fountain of the Four Rivers ( Fontana dei Fiumi ) celebrates the great rivers of the four continents : the Americas ( Ro de la Plata ) &#44,Europe,( Danube )&#44Asia ( Ganges )&#44and Africa ( Nile ) . ,LOC
300,Germany,39, right yeah the the World Football League is playing uh Frank uh playing in,Germany,i think i 've forgotten where they are Germany and somebody that ,LOC
301,London,39, He made vicious fun of the English bourgeoisie in plays such as The Importance of Being Earnest . The same bourgeoisie packed,London,houses and made him a fortune without realizing the joke was on them . ,LOC
302,China,39, Engagement&#44coupled with an active military presence in the Far East&#44will keep,China,from endangering the world . ,ORG
303,Canada,40, ,Canada,s Great Depression was felt first by farmers in the Prairie Provinces&#44unable to get rid of their surplus from the wheat glut of 1928 . ,DOT
304,Afghanistan,40, In the meantime&#44the CIA continued to work with its tribal assets in southern,Afghanistan,0,LOC
305,Boston,40, Its chief rival&#44Microsoft&#44has launched its city guide&#44Sidewalk&#44in Seattle&#44New York &#44,Boston,&#44 and the Twin Cities&#44and has plans to expand . ,LOC
306,California,40, Basketball is as popular in,California,as in the rest of the United States - the season lasts from October to April . ,LOC
307,Europe,40, However&#44in December 2002&#44it emerged that these two populations are of different mating types- A 1 in,Europe,and A 2 in the US . ,LOC
308,China,40, The Los Angeles Times leads with the concerns of U . S . foreign affairs experts ( mostly outside of&#44but some in&#44the government ) that Russia &#44,China,&#44 and India might form an anti- U . S . alliance ( the story also uses the more loaded word &#34 axis &#34 ) . ,ORG
309,Boston,41, Equally important is the type of creative and critical thinking represented by,Boston,'s probation chief Ronald P . Corbett . ,DOT
310,England,41, Like some smutty art film of a bygone era&#44Crash arrives on American screens preceded by lurid headlines--hailed at Cannes&#44banned in,England,&#44 its U . S . release nearly aborted by Ted Turner . ,DOT
311,Europe,41, In order to understand his ambiguous image&#44compare him with,Europe,s heroic crusaders who went on the rampage at about the same time . ,DOT
312,London,41, The talk contains the following compelling and reassuring passage&#44about a transport helicopter pilot&#44who came up on the radio volunteering to go pick up a fighter pilot shot down over a heavy concentration of Iraqi troops : &#34 You need to remember a Chinook is about the size of a double-decker,London,bus with props&#44and it does n't have guns . ,DOT
313,Afghanistan,41, He returned to,Afghanistan,0,LOC
314,Africa,41, Dear,Africa,&#44 Sorry ! ,ORG
315,America,41, Eszterhas is,America,'s most famous--or rather&#44notorious--screenwriter . ,ORG
316,China,41, Top priority was now assigned to the modernization of,China,s underdeveloped economy . ,ORG
317,Germany,41, The coup lasted only five days&#44but set the tone for,Germany,s fragile experiment in parliamentary democracy . ,ORG
318,America,42, The former is noir camp&#44another acid- and amphetamine-soaked foray into Oliver Stone 's,America,&#44 full of pixilated brutality and meaningless montage ( fractured zooms&#44black-and-white scudding clouds&#44close-ups of carrion and stuffed mountain lions ) . ,DOT
319,China,42, One of the darker attractions is the Exhibition Hall for the Ruins of the Japanese Troops Invading,China,&#44 site of a secret biological warfare center set up by the occupying Japanese forces in 1939 . ,DOT
320,Afghanistan,42, Shehhi left for,Afghanistan,around the same time ; Binalshibh&#44about two weeks later . ,LOC
321,California,42, The United States was eager to get in on the act and so&#44during the war with Mexico over the annexation of Texas &#44,California,was suddenly regarded as a useful addition to the spoils . ,LOC
322,London,42, Others can leave a message but I am moving to,London,0,LOC
323,England,42, The devastating military expedition he launched across the Rhineland and Palatinate&#44and the series of largely fruitless wars with Spain&#44Holland &#44,England,&#44 and Sweden did not endear him to the European people . ,ORG
324,America,43, The members of the National Audubon Society make up only a small fraction- less than one percent of,America,'s population . ,DOT
325,Boston,43, Other cities with branches of al Khifa included Atlanta &#44,Boston,&#44 Chicago&#44Pittsburgh&#44and Tucson . ,DOT
326,England,43, In,England,&#44 they think people are important&#44or not&#44based on their birth . ,DOT
327,Afghanistan,43, For a review of ISAF 's role&#44see NATO report&#44&#34 NATO in,Afghanistan,&#44 &#34 updated July 9&#442004 ( online at www . nato . int / issues / Afghanistan ) . ,LOC
328,Canada,43, Completing the financial picture north of the Dominion Center is First Canadian Place &#44,Canada,s tallest office building . ,LOC
329,Germany,43, Hamerow quotes a moving statement by Tresckow : &#34 If God once promised Abraham that he would destroy Sodom if only 10 righteous men lived there&#44then I hope that because of us God will also not destroy,Germany,. &#34 ,LOC
330,London,43, For this reason&#44in Archbishop Anselm 's Canons&#44made in the Council at,London,in 1102&#44Priests are enjoined not to go to drinking-bouts&#44nor to drink to Pegs . ,LOC
331,China,43, The papers note that the warrant is much more political than legal&#44in that the U . S . does not have an extradition treaty with,China,0,ORG
332,Afghanistan,44, Though continuing to worry about Iraq in the following week&#44Powell said&#44President Bush saw,Afghanistan,as the priority . ,DOT
333,America,44, In a press release referring to the program&#44IRS Commissioner Charles O . Rossotti stated that the clinics mesh with the IRS mission statement of providing &#34,America,'s taxpayers top quality service by helping them understand and meet their tax responsibilities by applying the tax law with integrity and fairness to all . &#34 ,DOT
334,Boston,44, In First National Bank of,Boston,v . ,DOT
335,England,44, We have renewed our fascination with the close spaces of 19 th - century,England,&#44 and it is with those close spaces&#44the dim hallways and yellow glooms&#44that the Australian novelist Peter Carey 's Jack Maggs reacquaints us . ,DOT
336,Europe,44, The West must start a moral crusade to excise &#34 the cancer of ethnic conflict &#34 by rebuilding the Balkans&#44strengthening the economies of southeastern,Europe,&#44 and eventually welcoming some more states into NATO . ,DOT
337,Africa,44, malaria is most common in,Africa,&#44 and it accounts for most of the extremely high mortality south of the Sahara . ,LOC
338,Germany,44, The second scene occurs during Kristallnacht&#44the night of broken glass when the Nazis destroyed most of the synagogues and many of the Jewish-owned stores in,Germany,: Oskar discovers that the Jew who sells him his tin drums has committed suicide in his store&#44while storm troopers rampage around his corpse&#44poking it with puppets and dropping their pants to shit on the floor . ,LOC
339,Germany,45, Meanwhile&#44Corriere della Sera of Milan &#34 deeply offended &#34 ( source&#44the Times of London ) Chancellor Helmut Kohl of,Germany,by publishing a front-page cartoon of him in the uniform and helmet of a Nazi concentration-camp guard to mark his arrival in Rome for a summit meeting with Italian Prime Minister Romano Prodi . ,DOT
340,Afghanistan,45, It is unlikely that Bin Ladin could have returned to,Afghanistan,had Pakistan disapproved . ,LOC
341,Africa,45, Ignatius gives as examples the Russian corruption scandal&#44Chinese atomic espionage&#44the FBI at Waco&#44the North Korean nuclear threat&#44and genocide in,Africa,0,LOC
342,America,45, So now that I am in,America,&#44 how should I go about overcoming my shyness and nervousness about the possibility of having to kiss a girl&#44or even having to ask for a kiss ? ,LOC
